,1000.0,925.0,850.0,700.0,500.0,300.0,200.0,150.0,100.0,50.0,30.0
Geo(gpm),116.0,781.0,1501.0,3139.0,5852.0,9693.0,12448.0,14257.0,16618.0,20605.0,23774.0
T(C),18.6,19.1,17.6,10.3,-6.3,-31.0,-50.2,-65.9,-78.4,-67.8,-56.4
Dew(C),7.2,-32.5,-19.9,-25.0,-40.4,-43.8,-70.1,-78.3,-85.3,-87.3,-90.9
Wdir(D),349.0,340.0,330.0,267.0,253.0,254.0,242.0,239.0,255.0,293.0,360.0
Wspd(m/s),7.8,10.2,9.1,8.4,16.7,21.8,32.0,31.2,19.9,11.3,4.8
